Date/Time CET/CEST;Date/Time UTC;MBA;Consumption Total [MWh];Metered [MWh];Profiled [MWh];Flex-settled [MWh]
24.06.2026/00:00;23.06.2026/22:00;SE1, SE2, SE3, SE4;-2832,625447;-2498,897281;-333,728166;
24.06.2026/00:15;23.06.2026/22:15;SE1, SE2, SE3, SE4;-2749,827247;-2425,177018;-324,650229;
24.06.2026/00:30;23.06.2026/22:30;SE1, SE2, SE3, SE4;-2725,943856;-2410,096582;-315,847274;
24.06.2026/00:45;23.06.2026/22:45;SE1, SE2, SE3, SE4;-2720,774383;-2414,168368;-306,606015;
24.06.2026/01:00;23.06.2026/23:00;SE1, SE2, SE3, SE4;-2709,377963;-2404,648712;-304,729251;
24.06.2026/01:15;23.06.2026/23:15;SE1, SE2, SE3, SE4;-2666,389061;-2366,942492;-299,446569;
24.06.2026/01:30;23.06.2026/23:30;SE1, SE2, SE3, SE4;-2660,101537;-2366,327426;-293,774111;
24.06.2026/01:45;23.06.2026/23:45;SE1, SE2, SE3, SE4;-2646,305419;-2355,147695;-291,157724;
24.06.2026/02:00;24.06.2026/00:00;SE1, SE2, SE3, SE4;-2660,663169;-2373,318624;-287,344545;
24.06.2026/02:15;24.06.2026/00:15;SE1, SE2, SE3, SE4;-2634,102006;-2348,223069;-285,878937;
24.06.2026/02:30;24.06.2026/00:30;SE1, SE2, SE3, SE4;-2611,690675;-2329,057628;-282,633047;
24.06.2026/02:45;24.06.2026/00:45;SE1, SE2, SE3, SE4;-2598,720263;-2319,36302;-279,357243;
24.06.2026/03:00;24.06.2026/01:00;SE1, SE2, SE3, SE4;-2596,402948;-2317,142195;-279,260753;
24.06.2026/03:15;24.06.2026/01:15;SE1, SE2, SE3, SE4;-2617,528969;-2342,424881;-275,104088;
24.06.2026/03:30;24.06.2026/01:30;SE1, SE2, SE3, SE4;-2607,480962;-2333,177805;-274,303157;
24.06.2026/03:45;24.06.2026/01:45;SE1, SE2, SE3, SE4;-2605,171675;-2338,168639;-267,003036;
24.06.2026/04:00;24.06.2026/02:00;SE1, SE2, SE3, SE4;-2633,07821;-2366,473987;-266,604223;
24.06.2026/04:15;24.06.2026/02:15;SE1, SE2, SE3, SE4;-2594,597693;-2332,248509;-262,349184;
24.06.2026/04:30;24.06.2026/02:30;SE1, SE2, SE3, SE4;-2568,891631;-2308,366492;-260,525139;
24.06.2026/04:45;24.06.2026/02:45;SE1, SE2, SE3, SE4;-2572,27834;-2311,603473;-260,674867;
24.06.2026/05:00;24.06.2026/03:00;SE1, SE2, SE3, SE4;-2619,326355;-2358,120162;-261,206193;
24.06.2026/05:15;24.06.2026/03:15;SE1, SE2, SE3, SE4;-2601,811444;-2338,549345;-263,262099;
24.06.2026/05:30;24.06.2026/03:30;SE1, SE2, SE3, SE4;-2615,229094;-2347,12785;-268,101244;
24.06.2026/05:45;24.06.2026/03:45;SE1, SE2, SE3, SE4;-2635,118371;-2364,497381;-270,62099;
24.06.2026/06:00;24.06.2026/04:00;SE1, SE2, SE3, SE4;-2718,170541;-2440,25865;-277,911891;
24.06.2026/06:15;24.06.2026/04:15;SE1, SE2, SE3, SE4;-2794,216656;-2508,275058;-285,941598;
24.06.2026/06:30;24.06.2026/04:30;SE1, SE2, SE3, SE4;-2866,534678;-2574,195281;-292,339397;
24.06.2026/06:45;24.06.2026/04:45;SE1, SE2, SE3, SE4;-2930,34033;-2631,788951;-298,551379;
24.06.2026/07:00;24.06.2026/05:00;SE1, SE2, SE3, SE4;-2998,905656;-2691,828818;-307,076838;
24.06.2026/07:15;24.06.2026/05:15;SE1, SE2, SE3, SE4;-3060,45783;-2746,225281;-314,232549;
24.06.2026/07:30;24.06.2026/05:30;SE1, SE2, SE3, SE4;-3108,615078;-2788,765541;-319,849537;
24.06.2026/07:45;24.06.2026/05:45;SE1, SE2, SE3, SE4;-3145,634188;-2818,947798;-326,68639;
24.06.2026/08:00;24.06.2026/06:00;SE1, SE2, SE3, SE4;-3180,183918;-2845,733659;-334,450259;
24.06.2026/08:15;24.06.2026/06:15;SE1, SE2, SE3, SE4;-3195,243448;-2856,337336;-338,906112;
24.06.2026/08:30;24.06.2026/06:30;SE1, SE2, SE3, SE4;-3167,760655;-2824,237911;-343,522744;
24.06.2026/08:45;24.06.2026/06:45;SE1, SE2, SE3, SE4;-3183,952731;-2837,819867;-346,132864;
24.06.2026/09:00;24.06.2026/07:00;SE1, SE2, SE3, SE4;-3185,452033;-2834,232574;-351,219459;
24.06.2026/09:15;24.06.2026/07:15;SE1, SE2, SE3, SE4;-3209,359898;-2855,358421;-354,001477;
24.06.2026/09:30;24.06.2026/07:30;SE1, SE2, SE3, SE4;-3243,249268;-2886,29796;-356,951308;
24.06.2026/09:45;24.06.2026/07:45;SE1, SE2, SE3, SE4;-3258,388642;-2897,992327;-360,396315;
24.06.2026/10:00;24.06.2026/08:00;SE1, SE2, SE3, SE4;-3254,135774;-2894,260362;-359,875412;
24.06.2026/10:15;24.06.2026/08:15;SE1, SE2, SE3, SE4;-3270,00938;-2908,494595;-361,514785;
24.06.2026/10:30;24.06.2026/08:30;SE1, SE2, SE3, SE4;-3269,266951;-2907,35775;-361,909201;
24.06.2026/10:45;24.06.2026/08:45;SE1, SE2, SE3, SE4;-3308,496361;-2945,84974;-362,646621;
24.06.2026/11:00;24.06.2026/09:00;SE1, SE2, SE3, SE4;-3296,790632;-2931,499456;-365,291176;
24.06.2026/11:15;24.06.2026/09:15;SE1, SE2, SE3, SE4;-3312,908171;-2945,272059;-367,636112;
24.06.2026/11:30;24.06.2026/09:30;SE1, SE2, SE3, SE4;-3323,038124;-2953,983469;-369,054655;
24.06.2026/11:45;24.06.2026/09:45;SE1, SE2, SE3, SE4;-3324,030735;-2952,565251;-371,465484;
24.06.2026/12:00;24.06.2026/10:00;SE1, SE2, SE3, SE4;-3308,048895;-2932,776718;-375,272177;
24.06.2026/12:15;24.06.2026/10:15;SE1, SE2, SE3, SE4;-3317,519236;-2942,387613;-375,131623;
24.06.2026/12:30;24.06.2026/10:30;SE1, SE2, SE3, SE4;-3328,377561;-2954,667854;-373,709707;
24.06.2026/12:45;24.06.2026/10:45;SE1, SE2, SE3, SE4;-3324,425947;-2952,59194;-371,834007;
24.06.2026/13:00;24.06.2026/11:00;SE1, SE2, SE3, SE4;-3338,346893;-2967,58458;-370,762313;
24.06.2026/13:15;24.06.2026/11:15;SE1, SE2, SE3, SE4;-3340,829699;-2972,255829;-368,57387;
24.06.2026/13:30;24.06.2026/11:30;SE1, SE2, SE3, SE4;-3358,315907;-2989,426648;-368,889259;
