Date/Time SNT;MBA;Load Profile [MWh]
24.06.2026/00:00;SE1, SE2, SE3, SE4;-304,729251
24.06.2026/00:15;SE1, SE2, SE3, SE4;-299,446569
24.06.2026/00:30;SE1, SE2, SE3, SE4;-293,774111
24.06.2026/00:45;SE1, SE2, SE3, SE4;-291,157724
24.06.2026/01:00;SE1, SE2, SE3, SE4;-287,344545
24.06.2026/01:15;SE1, SE2, SE3, SE4;-285,878937
24.06.2026/01:30;SE1, SE2, SE3, SE4;-282,633047
24.06.2026/01:45;SE1, SE2, SE3, SE4;-279,357243
24.06.2026/02:00;SE1, SE2, SE3, SE4;-279,260753
24.06.2026/02:15;SE1, SE2, SE3, SE4;-275,104088
24.06.2026/02:30;SE1, SE2, SE3, SE4;-274,303157
24.06.2026/02:45;SE1, SE2, SE3, SE4;-267,003036
24.06.2026/03:00;SE1, SE2, SE3, SE4;-266,604223
24.06.2026/03:15;SE1, SE2, SE3, SE4;-262,349184
24.06.2026/03:30;SE1, SE2, SE3, SE4;-260,525139
24.06.2026/03:45;SE1, SE2, SE3, SE4;-260,674867
24.06.2026/04:00;SE1, SE2, SE3, SE4;-261,206193
24.06.2026/04:15;SE1, SE2, SE3, SE4;-263,262099
24.06.2026/04:30;SE1, SE2, SE3, SE4;-268,101244
24.06.2026/04:45;SE1, SE2, SE3, SE4;-270,62099
24.06.2026/05:00;SE1, SE2, SE3, SE4;-277,911891
24.06.2026/05:15;SE1, SE2, SE3, SE4;-285,941598
24.06.2026/05:30;SE1, SE2, SE3, SE4;-292,339397
24.06.2026/05:45;SE1, SE2, SE3, SE4;-298,551379
24.06.2026/06:00;SE1, SE2, SE3, SE4;-307,076838
24.06.2026/06:15;SE1, SE2, SE3, SE4;-314,232549
24.06.2026/06:30;SE1, SE2, SE3, SE4;-319,849537
24.06.2026/06:45;SE1, SE2, SE3, SE4;-326,68639
24.06.2026/07:00;SE1, SE2, SE3, SE4;-334,450259
24.06.2026/07:15;SE1, SE2, SE3, SE4;-338,906112
24.06.2026/07:30;SE1, SE2, SE3, SE4;-343,522744
24.06.2026/07:45;SE1, SE2, SE3, SE4;-346,132864
24.06.2026/08:00;SE1, SE2, SE3, SE4;-351,219459
24.06.2026/08:15;SE1, SE2, SE3, SE4;-354,001477
24.06.2026/08:30;SE1, SE2, SE3, SE4;-356,951308
24.06.2026/08:45;SE1, SE2, SE3, SE4;-360,396315
24.06.2026/09:00;SE1, SE2, SE3, SE4;-359,875412
24.06.2026/09:15;SE1, SE2, SE3, SE4;-361,514785
24.06.2026/09:30;SE1, SE2, SE3, SE4;-361,909201
24.06.2026/09:45;SE1, SE2, SE3, SE4;-362,646621
24.06.2026/10:00;SE1, SE2, SE3, SE4;-365,291176
24.06.2026/10:15;SE1, SE2, SE3, SE4;-367,636112
24.06.2026/10:30;SE1, SE2, SE3, SE4;-369,054655
24.06.2026/10:45;SE1, SE2, SE3, SE4;-371,465484
24.06.2026/11:00;SE1, SE2, SE3, SE4;-375,272177
24.06.2026/11:15;SE1, SE2, SE3, SE4;-375,131623
24.06.2026/11:30;SE1, SE2, SE3, SE4;-373,709707
24.06.2026/11:45;SE1, SE2, SE3, SE4;-371,834007
24.06.2026/12:00;SE1, SE2, SE3, SE4;-370,762313
24.06.2026/12:15;SE1, SE2, SE3, SE4;-368,57387
24.06.2026/12:30;SE1, SE2, SE3, SE4;-368,889259
24.06.2026/12:45;SE1, SE2, SE3, SE4;-365,918281
24.06.2026/13:00;SE1, SE2, SE3, SE4;-366,618449
24.06.2026/13:15;SE1, SE2, SE3, SE4;-365,193603
24.06.2026/13:30;SE1, SE2, SE3, SE4;-365,38474
24.06.2026/13:45;SE1, SE2, SE3, SE4;-366,382094
24.06.2026/14:00;SE1, SE2, SE3, SE4;-367,823013
24.06.2026/14:15;SE1, SE2, SE3, SE4;-368,12174
24.06.2026/14:30;SE1, SE2, SE3, SE4;-369,84938
24.06.2026/14:45;SE1, SE2, SE3, SE4;-375,500535
24.06.2026/15:00;SE1, SE2, SE3, SE4;-382,034434
24.06.2026/15:15;SE1, SE2, SE3, SE4;-388,557528
24.06.2026/15:30;SE1, SE2, SE3, SE4;-399,157657
24.06.2026/15:45;SE1, SE2, SE3, SE4;-408,45781
24.06.2026/16:00;SE1, SE2, SE3, SE4;-414,588893
24.06.2026/16:15;SE1, SE2, SE3, SE4;-422,127311
24.06.2026/16:30;SE1, SE2, SE3, SE4;-426,150523
24.06.2026/16:45;SE1, SE2, SE3, SE4;-428,401879
24.06.2026/17:00;SE1, SE2, SE3, SE4;-428,804085
24.06.2026/17:15;SE1, SE2, SE3, SE4;-428,998926
24.06.2026/17:30;SE1, SE2, SE3, SE4;-427,677016
24.06.2026/17:45;SE1, SE2, SE3, SE4;-426,981549
24.06.2026/18:00;SE1, SE2, SE3, SE4;-427,818552
24.06.2026/18:15;SE1, SE2, SE3, SE4;-425,826293
24.06.2026/18:30;SE1, SE2, SE3, SE4;-422,995344
24.06.2026/18:45;SE1, SE2, SE3, SE4;-421,683835
24.06.2026/19:00;SE1, SE2, SE3, SE4;-419,336449
24.06.2026/19:15;SE1, SE2, SE3, SE4;-419,14385
24.06.2026/19:30;SE1, SE2, SE3, SE4;-415,700067
24.06.2026/19:45;SE1, SE2, SE3, SE4;-411,992641
24.06.2026/20:00;SE1, SE2, SE3, SE4;-407,893752
24.06.2026/20:15;SE1, SE2, SE3, SE4;-405,391181
24.06.2026/20:30;SE1, SE2, SE3, SE4;-399,761533
24.06.2026/20:45;SE1, SE2, SE3, SE4;-396,285399
24.06.2026/21:00;SE1, SE2, SE3, SE4;-395,291512
24.06.2026/21:15;SE1, SE2, SE3, SE4;-391,478708
