_id,start_time_sweden,start_time_utc,bidding_zone,price,price_unit
1233853,2026-06-24T23:45:00,2026-06-24T21:45:00,SE4,162.89,EUR-MWh
1232802,2026-06-24T23:45:00,2026-06-24T21:45:00,SE3,103.46,EUR-MWh
1232422,2026-06-24T23:45:00,2026-06-24T21:45:00,SE1,38.21,EUR-MWh
1233476,2026-06-24T23:45:00,2026-06-24T21:45:00,SE2,38.01,EUR-MWh
1233726,2026-06-24T23:30:00,2026-06-24T21:30:00,SE4,158.61,EUR-MWh
1232631,2026-06-24T23:30:00,2026-06-24T21:30:00,SE3,104.99,EUR-MWh
1232758,2026-06-24T23:30:00,2026-06-24T21:30:00,SE2,45.8,EUR-MWh
1232894,2026-06-24T23:30:00,2026-06-24T21:30:00,SE1,45.83,EUR-MWh
1233543,2026-06-24T23:15:00,2026-06-24T21:15:00,SE4,156.03,EUR-MWh
1232462,2026-06-24T23:15:00,2026-06-24T21:15:00,SE1,49.94,EUR-MWh
1232553,2026-06-24T23:15:00,2026-06-24T21:15:00,SE2,50.0,EUR-MWh
1232982,2026-06-24T23:15:00,2026-06-24T21:15:00,SE3,105.67,EUR-MWh
1233425,2026-06-24T23:00:00,2026-06-24T21:00:00,SE2,58.4,EUR-MWh
1233939,2026-06-24T23:00:00,2026-06-24T21:00:00,SE1,58.12,EUR-MWh
1233016,2026-06-24T23:00:00,2026-06-24T21:00:00,SE4,180.97,EUR-MWh
1233053,2026-06-24T23:00:00,2026-06-24T21:00:00,SE3,122.85,EUR-MWh
1233200,2026-06-24T22:45:00,2026-06-24T20:45:00,SE2,49.99,EUR-MWh
1232566,2026-06-24T22:45:00,2026-06-24T20:45:00,SE3,121.32,EUR-MWh
1232983,2026-06-24T22:45:00,2026-06-24T20:45:00,SE4,187.08,EUR-MWh
1232949,2026-06-24T22:45:00,2026-06-24T20:45:00,SE1,49.86,EUR-MWh
1233193,2026-06-24T22:30:00,2026-06-24T20:30:00,SE4,219.05,EUR-MWh
1233850,2026-06-24T22:30:00,2026-06-24T20:30:00,SE1,61.56,EUR-MWh
1232728,2026-06-24T22:30:00,2026-06-24T20:30:00,SE3,143.86,EUR-MWh
1232939,2026-06-24T22:30:00,2026-06-24T20:30:00,SE2,62.01,EUR-MWh
1232559,2026-06-24T22:15:00,2026-06-24T20:15:00,SE1,69.3,EUR-MWh
1233426,2026-06-24T22:15:00,2026-06-24T20:15:00,SE2,70.0,EUR-MWh
1233139,2026-06-24T22:15:00,2026-06-24T20:15:00,SE4,290.43,EUR-MWh
1232546,2026-06-24T22:15:00,2026-06-24T20:15:00,SE3,184.92,EUR-MWh
1233559,2026-06-24T22:00:00,2026-06-24T20:00:00,SE1,81.54,EUR-MWh
1233382,2026-06-24T22:00:00,2026-06-24T20:00:00,SE3,218.55,EUR-MWh
1232530,2026-06-24T22:00:00,2026-06-24T20:00:00,SE4,343.25,EUR-MWh
1232711,2026-06-24T22:00:00,2026-06-24T20:00:00,SE2,82.55,EUR-MWh
1233494,2026-06-24T21:45:00,2026-06-24T19:45:00,SE2,74.49,EUR-MWh
1232484,2026-06-24T21:45:00,2026-06-24T19:45:00,SE3,159.42,EUR-MWh
1232746,2026-06-24T21:45:00,2026-06-24T19:45:00,SE1,73.7,EUR-MWh
1232617,2026-06-24T21:45:00,2026-06-24T19:45:00,SE4,238.16,EUR-MWh
1233511,2026-06-24T21:30:00,2026-06-24T19:30:00,SE4,249.79,EUR-MWh
1232825,2026-06-24T21:30:00,2026-06-24T19:30:00,SE3,173.76,EUR-MWh
1233472,2026-06-24T21:30:00,2026-06-24T19:30:00,SE2,91.31,EUR-MWh
