time,hour,quarter_hour,office_company_building_kw,light_factory_one_shift_kw,two_shift_manufacturing_kw,continuous_process_24_7_kw,logistics_ev_depot_kw
2026-06-24 00:00:00,0,00:00,180.0,400.0,500.0,1130.0,1500.0
2026-06-24 00:15:00,0,00:15,178.75,398.75,498.75,1127.5,1487.5
2026-06-24 00:30:00,0,00:30,177.5,397.5,497.5,1125.0,1475.0
2026-06-24 00:45:00,0,00:45,176.25,396.25,496.25,1122.5,1462.5
2026-06-24 01:00:00,1,01:00,175.0,395.0,495.0,1120.0,1450.0
2026-06-24 01:15:00,1,01:15,173.75,393.75,493.75,1117.5,1417.5
2026-06-24 01:30:00,1,01:30,172.5,392.5,492.5,1115.0,1385.0
2026-06-24 01:45:00,1,01:45,171.25,391.25,491.25,1112.5,1352.5
2026-06-24 02:00:00,2,02:00,170.0,390.0,490.0,1110.0,1320.0
2026-06-24 02:15:00,2,02:15,170.0,390.0,490.0,1111.25,1270.0
2026-06-24 02:30:00,2,02:30,170.0,390.0,490.0,1112.5,1220.0
2026-06-24 02:45:00,2,02:45,170.0,390.0,490.0,1113.75,1170.0
2026-06-24 03:00:00,3,03:00,170.0,390.0,490.0,1115.0,1120.0
2026-06-24 03:15:00,3,03:15,171.25,395.0,497.5,1117.5,1052.5
2026-06-24 03:30:00,3,03:30,172.5,400.0,505.0,1120.0,985.0
2026-06-24 03:45:00,3,03:45,173.75,405.0,512.5,1122.5,917.5
2026-06-24 04:00:00,4,04:00,175.0,410.0,520.0,1125.0,850.0
2026-06-24 04:15:00,4,04:15,178.75,462.5,585.0,1128.75,792.5
2026-06-24 04:30:00,4,04:30,182.5,515.0,650.0,1132.5,735.0
2026-06-24 04:45:00,4,04:45,186.25,567.5,715.0,1136.25,677.5
2026-06-24 05:00:00,5,05:00,190.0,620.0,780.0,1140.0,620.0
2026-06-24 05:15:00,5,05:15,207.5,727.5,890.0,1145.0,690.0
2026-06-24 05:30:00,5,05:30,225.0,835.0,1000.0,1150.0,760.0
2026-06-24 05:45:00,5,05:45,242.5,942.5,1110.0,1155.0,830.0
2026-06-24 06:00:00,6,06:00,260.0,1050.0,1220.0,1160.0,900.0
2026-06-24 06:15:00,6,06:15,325.0,1125.0,1277.5,1165.0,975.0
2026-06-24 06:30:00,6,06:30,390.0,1200.0,1335.0,1170.0,1050.0
2026-06-24 06:45:00,6,06:45,455.0,1275.0,1392.5,1175.0,1125.0
2026-06-24 07:00:00,7,07:00,520.0,1350.0,1450.0,1180.0,1200.0
2026-06-24 07:15:00,7,07:15,580.0,1375.0,1475.0,1185.0,1145.0
2026-06-24 07:30:00,7,07:30,640.0,1400.0,1500.0,1190.0,1090.0
2026-06-24 07:45:00,7,07:45,700.0,1425.0,1525.0,1195.0,1035.0
2026-06-24 08:00:00,8,08:00,760.0,1450.0,1550.0,1200.0,980.0
2026-06-24 08:15:00,8,08:15,775.0,1462.5,1557.5,1202.5,897.5
2026-06-24 08:30:00,8,08:30,790.0,1475.0,1565.0,1205.0,815.0
2026-06-24 08:45:00,8,08:45,805.0,1487.5,1572.5,1207.5,732.5
2026-06-24 09:00:00,9,09:00,820.0,1500.0,1580.0,1210.0,650.0
2026-06-24 09:15:00,9,09:15,827.5,1495.0,1577.5,1212.5,617.5
2026-06-24 09:30:00,9,09:30,835.0,1490.0,1575.0,1215.0,585.0
2026-06-24 09:45:00,9,09:45,842.5,1485.0,1572.5,1217.5,552.5
2026-06-24 10:00:00,10,10:00,850.0,1480.0,1570.0,1220.0,520.0
2026-06-24 10:15:00,10,10:15,852.5,1475.0,1567.5,1221.25,510.0
2026-06-24 10:30:00,10,10:30,855.0,1470.0,1565.0,1222.5,500.0
2026-06-24 10:45:00,10,10:45,857.5,1465.0,1562.5,1223.75,490.0
