time,hour,office_company_building_kw,light_factory_one_shift_kw,two_shift_manufacturing_kw,continuous_process_24_7_kw,logistics_ev_depot_kw
2026-06-24 00:00:00,0,180,400,500,1130,1500
2026-06-24 01:00:00,1,175,395,495,1120,1450
2026-06-24 02:00:00,2,170,390,490,1110,1320
2026-06-24 03:00:00,3,170,390,490,1115,1120
2026-06-24 04:00:00,4,175,410,520,1125,850
2026-06-24 05:00:00,5,190,620,780,1140,620
2026-06-24 06:00:00,6,260,1050,1220,1160,900
2026-06-24 07:00:00,7,520,1350,1450,1180,1200
2026-06-24 08:00:00,8,760,1450,1550,1200,980
2026-06-24 09:00:00,9,820,1500,1580,1210,650
2026-06-24 10:00:00,10,850,1480,1570,1220,520
2026-06-24 11:00:00,11,860,1460,1560,1225,480
2026-06-24 12:00:00,12,845,1440,1540,1230,460
2026-06-24 13:00:00,13,835,1420,1530,1220,470
2026-06-24 14:00:00,14,820,1380,1520,1215,520
2026-06-24 15:00:00,15,790,1280,1500,1225,650
2026-06-24 16:00:00,16,720,900,1480,1240,850
2026-06-24 17:00:00,17,560,650,1450,1250,980
2026-06-24 18:00:00,18,380,520,1380,1245,1120
2026-06-24 19:00:00,19,260,470,1250,1235,1350
2026-06-24 20:00:00,20,220,450,1120,1215,1600
2026-06-24 21:00:00,21,205,430,850,1190,1750
2026-06-24 22:00:00,22,195,420,620,1165,1680
2026-06-24 23:00:00,23,185,410,540,1145,1580
